Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
EPAY,Bottomline Technologies  Inc.,Apr 26  2017 - May 1  ,18.48 - 31.52,0.38,0.3,0.19,0.18,0.4,0.37,0.22,0.26,../test/Nasdaq/EPAY/EPAY.csv,
ISRL,Isramco  Inc.,,,null,,
NVFY,Nova Lifestyle  Inc,,,null,,
OPOF,Old Point Financial Corporation,Apr 20  2017 - Apr 24  ,18.30 - 29.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OPOF/OPOF.csv,
CAAS,China Automotive Systems  Inc.,Mar 28  2017 - Apr 3  ,3.10 - 7.96,0.2,0.22,0.2,0.12,0.21,0.18,0.17,0.18,../test/Nasdaq/CAAS/CAAS.csv,
TRST,TrustCo Bank Corp NY,Apr 19  2017 - Apr 24  ,5.74 - 9.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,../test/Nasdaq/TRST/TRST.csv,
PIH,1347 Property Insurance Holding,,,null,,
CETV,Central European Media Enterpri,Apr 25  2017 - May 1  ,2.03 - 3.15,-0.34,-0.2,-0.9,-0.14,-0.39,-0.31,0.06,-0.14,../test/Nasdaq/CETV/CETV.csv,
MDXG,MiMedx Group  Inc,Apr 24  2017 - Apr 28  ,6.64 - 10.02,0.05,0.07,0.06,0.08,0.04,0.05,0.06,0.07,../test/Nasdaq/MDXG/MDXG.csv,
TUTI,Tuttle Tactical Management Mult,,,null,,
RIGL,Rigel Pharmaceuticals  Inc.,Mar 6  2017 - Mar 10  ,1.88 - 4.38,-0.19,-0.2,-0.23,-0.17,-0.19,-0.15,-0.24,-0.16,../test/Nasdaq/RIGL/RIGL.csv,
INBK,First Internet Bancorp,Apr 19  2017 - Apr 24  ,22.01 - 33.00,0.53,0.65,0.5,0.53,0.53,0.57,0.55,0.64,../test/Nasdaq/INBK/INBK.csv,
OTTW,OTTAWA SAVING BCP IL,,,null,,
SITO,SITO MOBILE  LTD.,Mar 28  2017 ,1.71 - 6.08,-0.07,-0.04,-0.04,0.02,-0.02,-0.07,0.04,0.03,../test/Nasdaq/SITO/SITO.csv,
KONA,Kona Grill  Inc.,Feb 27  2017 - Mar 3  ,6.10 - 14.44,-0.13,-0.05,-0.15,-0.32,-0.15,-0.08,-0.24,-0.39,../test/Nasdaq/KONA/KONA.csv,
ESSA,ESSA Bancorp  Inc.,Apr 25  2017 - May 1  ,12.93 - 16.91,0.2,0.22,0.27,0.17,0.2,0.2,0.14,0.18,../test/Nasdaq/ESSA/ESSA.csv,
SYNA,Synaptics Incorporated,Apr 26  2017 - May 1  ,47.09 - 90.91,1.51,0.46,1,1.3,1.21,0.46,0.96,1.49,../test/Nasdaq/SYNA/SYNA.csv,
BWINA,Baldwin Lyons  Inc.,,,null,,
UBNK,United Financial Bancorp  Inc.,Apr 17  2017 - Apr 21  ,12.00 - 18.66,0.24,0.24,0.22,0.27,0.24,0.18,0.28,0.29,../test/Nasdaq/UBNK/UBNK.csv,
PLAB,Photronics  Inc.,May 16  2017 - May 22  ,8.20 - 12.10,0.13,0.14,0.03,0.03,0.13,0.12,0.05,0.03,../test/Nasdaq/PLAB/PLAB.csv,
LONE,Lonestar Resources US Inc.,,,null,,
MYOK,MyoKardia  Inc.,Mar 16  2017 - Mar 20  ,7.76 - 22.83,-0.58,-0.46,-0.33,-0.37,-0.48,-0.32,-0.37,-0.35,../test/Nasdaq/MYOK/MYOK.csv,
CFNL,Cardinal Financial Corporation,Apr 20  2017 - Apr 25  ,18.99 - 34.75,0.32,0.36,0.37,0.37,0.39,0.42,0.37,0.32,../test/Nasdaq/CFNL/CFNL.csv,
DRRX,DURECT Corporation,Feb 27  2017 - Mar 3  ,0.92 - 2.00,-0.06,-0.06,-0.06,-0.07,-0.05,-0.06,-0.07,-0.06,../test/Nasdaq/DRRX/DRRX.csv,
MXIM,Maxim Integrated Products  Inc.,Apr 19  2017 - Apr 24  ,33.39 - 45.58,0.42,0.48,0.47,0.43,0.41,0.49,0.48,0.46,../test/Nasdaq/MXIM/MXIM.csv,
JCTCF,Jewett-Cameron Trading Company,Apr 11  2017 - Apr 17  ,9.64 - 14.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/JCTCF/JCTCF.csv,
TLF,Tandy Leather Factory  Inc.,Mar 9  2017 - Mar 13  ,6.57 - 8.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/TLF/TLF.csv,
KVHI,KVH Industries  Inc.,Mar 8  2017 - Mar 13  ,7.31 - 12.75,-0.02,0.06,0.09,0.12,-0.04,0.08,0.27,0.13,../test/Nasdaq/KVHI/KVHI.csv,
SPNE,SeaSpine Holdings Corporation,May 10  2017 - May 15  ,6.40 - 15.66,-0.09,-0.79,-0.54,-0.36,-1.08,-1.07,-0.84,-0.87,../test/Nasdaq/SPNE/SPNE.csv,
CDC,VictoryShares US EQ Income Enha,,,null,,
KTEC,Key Technology  Inc.,Apr 27  2017 ,6.82 - 13.95,-0.23,0.11,0.17,-0.14,-0.09,0.16,0.08,N/A,../test/Nasdaq/KTEC/KTEC.csv,
TCBK,TriCo Bancshares,Apr 26  2017 - May 1  ,23.51 - 37.45,0.48,0.51,0.48,0.48,0.46,0.41,0.53,0.54,../test/Nasdaq/TCBK/TCBK.csv,
Skip,BAD NAME,,,null,,
PSDV,pSivida Corp.,May 3  2017 - May 8  ,1.50 - 4.25,-0.2,-0.13,-0.19,-0.18,-0.15,-0.19,-0.21,N/A,../test/Nasdaq/PSDV/PSDV.csv,
OACQW,Origo Acquisition Corporation,,,null,,
SBNYW,Signature Bank,,,null,,
HSGX,Histogenics Corporation,Mar 8  2017 - Mar 13  ,1.39 - 4.47,-0.59,-0.59,-0.6,-0.49,-0.61,-0.6,-0.61,-0.7,../test/Nasdaq/HSGX/HSGX.csv,
GROW,U.S. Global Investors  Inc.,May 10  2017 - May 15  ,1.25 - 2.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GROW/GROW.csv,
RIBTW,RiceBran Technologies,,,null,,
SRET,Global X SuperDividend REIT ETF,,,null,,
GOLD,Randgold Resources Limited,,,null,,
FCNCA,First Citizens BancShares  Inc.,May 4  2017 - May 8  ,229.51 - 384.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FCNCA/FCNCA.csv,
UNIS,Unilife Corporation,Jun 16  2016 - Jun 17  ,1.58 - 9.40,-1.27,-1.6,-1.53,-1.07,-2,-2.2,-2.1,-2,../test/Nasdaq/UNIS/UNIS.csv,
CSOD,Cornerstone OnDemand  Inc.,May 2  2017 - May 8  ,30.27 - 47.75,-0.1,-0.04,-0.01,-0.04,N/A,N/A,0.11,N/A,../test/Nasdaq/CSOD/CSOD.csv,
ROIAK,Radio One  Inc.,Feb 23  2017 - Feb 27  ,1.26 - 3.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ROIAK/ROIAK.csv,
SWIN,ALPS/Dorsey Wright Sector Momen,,,null,,
KLAC,KLA-Tencor Corporation,Apr 24  2017 - Apr 28  ,66.88 - 93.15,0.98,1.42,1.03,1.39,1.15,1.77,1.16,1.52,../test/Nasdaq/KLAC/KLAC.csv,
DISCB,Discovery Communications  Inc.,,,null,,
GYRO,Gyrodyne   LLC,,,null,,
PANL,Pangaea Logistics Solutions Ltd,,,null,,
CNCR,Loncar Cancer Immunotherapy ETF,,,null,,
CYAD,Celyad SA,,,null,,
FCEL,FuelCell Energy  Inc.,Mar 7  2017 - Mar 13  ,1.25 - 8.88,-0.35,-0.4,-0.39,-0.37,-0.48,-0.56,-0.38,-0.41,../test/Nasdaq/FCEL/FCEL.csv,
EYES,Second Sight Medical Products ,Mar 1  2017 - Mar 6  ,1.32 - 6.05,-0.14,-0.16,-0.15,-0.16,-0.15,-0.16,-0.23,-0.2,../test/Nasdaq/EYES/EYES.csv,
CUBN,COMMERCE UN BANCSHA,,,null,,
MIME,Mimecast Limited,May 9  2016 - May 13  ,7.08 - 24.60,-0.03,-0.04,-0.02,N/A,N/A,0.04,0.05,N/A,../test/Nasdaq/MIME/MIME.csv,
LOB,Live Oak Bancshares  Inc.,Apr 25  2017 - May 1  ,12.68 - 24.59,0.12,0.16,0.08,0.13,0.13,N/A,0.1,0.25,../test/Nasdaq/LOB/LOB.csv,
IBKCO,IBERIABANK Corporation,,,null,,
QNST,QuinStreet  Inc.,May 8  2017 - May 12  ,2.61 - 4.32,0.06,0.06,0.04,0.04,0.03,0.02,0.01,-0.04,../test/Nasdaq/QNST/QNST.csv,
FDTS,First Trust Developed Markets e,,,null,,
SINA,Sina Corporation,Feb 28  2017 - Mar 6  ,43.99 - 85.24,-0.05,0.15,0.34,0.55,-0.04,0.27,0.56,0.63,../test/Nasdaq/SINA/SINA.csv,
TTWO,Take-Two Interactive Software ,May 16  2017 - May 22  ,33.06 - 60.20,0.26,-0.29,0.29,0.96,0.46,-0.34,0.66,0.99,../test/Nasdaq/TTWO/TTWO.csv,
KGJI,Kingold Jewelry Inc.,Mar 27  2017 - Mar 31  ,1.00 - 2.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/KGJI/KGJI.csv,
IMI,Intermolecular  Inc.,May 3  2017 - May 8  ,0.78 - 2.92,-0.04,-0.06,-0.11,-0.08,-0.01,-0.06,-0.1,-0.05,../test/Nasdaq/IMI/IMI.csv,
AKAM,Akamai Technologies  Inc.,Apr 24  2017 - Apr 28  ,47.80 - 71.64,0.63,0.64,0.61,0.68,0.66,0.64,0.68,0.72,../test/Nasdaq/AKAM/AKAM.csv,
FONE,First Trust NASDAQ Smartphone I,,,null,,
SLAB,Silicon Laboratories  Inc.,Apr 25  2017 - May 1  ,42.63 - 75.60,0.45,0.64,0.64,0.65,0.51,0.75,0.77,0.75,../test/Nasdaq/SLAB/SLAB.csv,
SPWH,Sportsman s Warehouse Holdings ,Aug 25  2016 - Aug 29  ,4.18 - 14.18,0.25,-0.02,0.16,0.25,0.27,N/A,0.2,0.25,../test/Nasdaq/SPWH/SPWH.csv,
CACQ,Caesars Acquisition Company,Feb 21  2017 - Feb 27  ,5.19 - 15.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CACQ/CACQ.csv,
SHLDW,Sears Holdings Corporation,,,null,,
AIMT,Aimmune Therapeutics  Inc.,Mar 1  2017 - Mar 6  ,9.77 - 27.31,-0.35,-0.4,-0.41,-0.46,-0.39,-0.37,-0.43,-0.53,../test/Nasdaq/AIMT/AIMT.csv,
ORBC,ORBCOMM Inc.,Mar 7  2017 - Mar 13  ,7.15 - 10.98,-0.03,-0.04,-0.04,-0.04,-0.03,-0.06,-0.2,-0.05,../test/Nasdaq/ORBC/ORBC.csv,
FINQ,Purefunds Solactive FinTech ETF,,,null,,
MCHX,Marchex  Inc.,May 3  2017 - May 8  ,2.46 - 4.66,-0.03,-0.02,-0.06,-0.06,-0.03,-0.02,-0.06,-0.04,../test/Nasdaq/MCHX/MCHX.csv,
BNTCW,Benitec Biopharma Limited,,,null,,
IVFVC,Ivy NextShares,,,null,,
GPRO,GoPro  Inc.,Oct 27  2016 - Oct 31  ,7.91 - 17.68,-0.6,-0.58,-0.35,0.22,-0.63,-0.52,-0.6,0.29,../test/Nasdaq/GPRO/GPRO.csv,
EBSB,Meridian Bancorp  Inc.,Apr 27  2017 - May 1  ,13.41 - 20.55,0.12,0.14,0.15,0.18,0.14,0.11,0.18,0.22,../test/Nasdaq/EBSB/EBSB.csv,
EFSC,Enterprise Financial Services C,Apr 26  2017 - May 1  ,25.04 - 46.25,0.49,0.53,0.56,0.61,0.54,0.61,0.59,0.74,../test/Nasdaq/EFSC/EFSC.csv,
OXLCN,Oxford Lane Capital Corp.,,,null,,
BOKFL,BOK Financial Corporation,,,null,,
ACXM,Acxiom Corporation,May 15  2017 - May 19  ,19.11 - 30.40,0.12,0.09,0.11,0.15,0.18,0.15,0.18,0.24,../test/Nasdaq/ACXM/ACXM.csv,
NXTD,NXT-ID Inc.,Nov 14  2016 - Nov 15  ,1.81 - 6.70,-1.05,-0.9,-1,-0.8,-1.2,-1,-1.4,-0.5,../test/Nasdaq/NXTD/NXTD.csv,
HMNY,Helios and Matheson Analytics I,,,null,,
SPIL,Siliconware Precision Industrie,,,null,,
GBDC,Golub Capital BDC  Inc.,May 3  2017 - May 8  ,16.70 - 19.76,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,../test/Nasdaq/GBDC/GBDC.csv,
ANCB,Anchor Bancorp,Apr 24  2017 - Apr 28  ,22.61 - 27.50,0.06,0.11,0.15,0.26,0.04,0.14,0.24,0.17,../test/Nasdaq/ANCB/ANCB.csv,
LEDS,SemiLEDS Corporation,Apr 10  2017 - Apr 14  ,1.36 - 11.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/LEDS/LEDS.csv,
OSM,Navient Corporation,,,null,,
BSET,Bassett Furniture Industries  I,Mar 29  2017 - Apr 3  ,22.42 - 33.68,0.22,0.43,0.39,0.44,0.3,0.31,0.38,0.47,../test/Nasdaq/BSET/BSET.csv,
PTF,PowerShares DWA Technology Mome,,,null,,
SEDG,SolarEdge Technologies  Inc.,May 8  2017 - May 12  ,11.35 - 28.99,0.4,0.41,0.44,0.33,0.51,0.44,0.46,0.32,../test/Nasdaq/SEDG/SEDG.csv,
FTC,First Trust Large Cap Growth Al,,,null,,
CNOB,ConnectOne Bancorp  Inc.,Apr 24  2017 - Apr 28  ,15.09 - 26.65,0.32,0.33,0.35,-0.01,0.34,0.36,0.39,-0.07,../test/Nasdaq/CNOB/CNOB.csv,
UNAM,Unico American Corporation,Mar 23  2017 - Mar 27  ,8.64 - 12.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UNAM/UNAM.csv,
HMST,HomeStreet  Inc.,Apr 24  2017 - Apr 28  ,18.74 - 33.70,0.34,0.68,0.74,0.07,0.27,0.87,1.11,0.09,../test/Nasdaq/HMST/HMST.csv,
FNY,First Trust Mid Cap Growth Alph,,,null,,
TECH,Bio-Techne Corp,May 1  2017 - May 5  ,91.17 - 117.42,0.89,0.96,0.79,0.85,1.01,0.92,0.84,0.81,../test/Nasdaq/TECH/TECH.csv,
MEIP,MEI Pharma  Inc.,,,null,,
TCON,TRACON Pharmaceuticals  Inc.,Feb 17  2017 - Feb 20  ,3.60 - 7.90,-0.76,-0.62,-0.63,-0.53,-0.54,-0.68,-0.48,-0.45,../test/Nasdaq/TCON/TCON.csv,
AMRI,Albany Molecular Research  Inc.,Feb 15  2017 - Feb 20  ,12.45 - 19.35,0.21,0.32,0.13,0.48,0.07,0.36,0.17,0.34,../test/Nasdaq/AMRI/AMRI.csv,
EWZS,iShares MSCI Brazil Small-Cap E,,,null,,
NLNK,NewLink Genetics Corporation,Feb 27  2017 - Mar 3  ,9.23 - 21.43,-0.79,-0.77,-0.6,-0.62,-0.82,-1.12,-0.54,-0.46,../test/Nasdaq/NLNK/NLNK.csv,
NHLDW,National Holdings Corporation,,,null,,
MXWL,Maxwell Technologies  Inc.,Feb 14  2017 - Feb 20  ,4.20 - 6.72,-0.16,-0.08,-0.22,-0.23,-0.22,0.07,-0.21,-0.32,../test/Nasdaq/MXWL/MXWL.csv,
RRD,R.R. Donnelley Sons Company C,Feb 23  2017 - Feb 27  ,14.00 - 24.64,0.53,0.84,1.26,0.36,0.66,1.02,1.07,0.51,../test/Nasdaq/RRD/RRD.csv,
FARO,FARO Technologies  Inc.,Feb 22  2017 - Feb 27  ,27.87 - 40.15,0.04,0.28,0.2,0.35,0.19,0.2,0.07,0.21,../test/Nasdaq/FARO/FARO.csv,
OPTT,Ocean Power Technologies  Inc.,Mar 9  2017 - Mar 13  ,1.37 - 15.65,-3.1,-1.2,-2.1,-1.85,-1.9,-1.2,-1.9,-1.05,../test/Nasdaq/OPTT/OPTT.csv,
OCC,Optical Cable Corporation,Mar 13  2017 - Mar 17  ,2.14 - 3.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OCC/OCC.csv,
CTRV,CONTRAVIR PHARMACEUT,,,null,,
FNHC,Federated National Holding Comp,Mar 6  2017 - Mar 10  ,14.03 - 22.93,0.74,0.58,0.75,0.4,0.66,0.64,0.07,0.05,../test/Nasdaq/FNHC/FNHC.csv,
IPWR,Ideal Power Inc.,Feb 9  2017 - Feb 13  ,2.00 - 6.63,-0.32,-0.31,-0.3,-0.29,-0.29,-0.26,-0.31,-0.29,../test/Nasdaq/IPWR/IPWR.csv,
FTW,First Trust Taiwan AlphaDEX Fun,,,null,,
CVTI,Covenant Transportation Group ,Apr 25  2017 - May 1  ,14.26 - 25.77,0.21,0.19,0.14,0.33,0.21,0.2,0.16,0.33,../test/Nasdaq/CVTI/CVTI.csv,
SENEB,Seneca Foods Corp.,,,null,,
FEX,First Trust Large Cap Core Alph,,,null,,
KOOL,Cesca Therapeutics Inc.,May 10  2017 - May 15  ,1.85 - 7.39,-1.1,-1.4,0.13,-1.15,-2,-1,-4,-1.01,../test/Nasdaq/KOOL/KOOL.csv,
UCBI,United Community Banks  Inc.,Apr 25  2017 - May 1  ,17.07 - 30.47,0.32,0.35,0.37,0.39,0.33,0.36,0.39,0.4,../test/Nasdaq/UCBI/UCBI.csv,
FNTEU,FinTech Acquisition Corp. II,,,null,,
SPTN,SpartanNash Company,Feb 22  2017 - Feb 27  ,25.29 - 40.38,0.49,0.57,0.53,0.48,0.54,0.58,0.53,0.53,../test/Nasdaq/SPTN/SPTN.csv,
SRAX,Social Reality  Inc.,May 15  2017 - May 19  ,2.11 - 9.40,-0.15,-0.05,0.08,-0.24,-0.05,-0.4,0.3,-0.4,../test/Nasdaq/SRAX/SRAX.csv,
CHEKW,Check-Cap Ltd.,,,null,,
APDNW,Applied DNA Sciences Inc,,,null,,
PAVM,PAVmed Inc.,,,null,,
AHPAU,Avista Healthcare Public Acquis,,,null,,
HPJ,Highpower International Inc,Mar 22  2017 - Mar 27  ,1.65 - 3.64,N/A,-0.02,0.06,0.13,N/A,-0.03,0.11,0.09,../test/Nasdaq/HPJ/HPJ.csv,
UTHR,United Therapeutics Corporation,Feb 23  2017 - Feb 27  ,97.52 - 169.89,3.21,3.22,3.34,3.61,4.84,4.39,3.5,2.49,../test/Nasdaq/UTHR/UTHR.csv,
UTMD,Utah Medical Products  Inc.,Apr 24  2017 - Apr 28  ,56.30 - 75.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UTMD/UTMD.csv,
SLCT,Select Bancorp  Inc.,May 1  2017 - May 5  ,7.78 - 11.12,0.14,0.15,0.17,0.16,0.13,0.16,0.15,0.14,../test/Nasdaq/SLCT/SLCT.csv,
SMIT,Schmitt Industries  Inc.,Apr 10  2017 - Apr 17  ,1.37 - 4.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SMIT/SMIT.csv,
LBAI,Lakeland Bancorp  Inc.,Apr 24  2017 - Apr 28  ,9.90 - 20.65,0.22,0.24,0.25,0.26,0.23,0.26,0.28,0.26,../test/Nasdaq/LBAI/LBAI.csv,
AHPI,Allied Healthcare Products  Inc,,,null,,
BCOV,Brightcove Inc.,Apr 26  2017 - May 1  ,5.68 - 13.80,0.01,-0.01,0.02,0.03,0.02,-0.01,0.02,-0.03,../test/Nasdaq/BCOV/BCOV.csv,
STPP,Barclays PLC,,,null,,
DELT,Delta Technology Holdings Limit,,,null,,
PLUS,ePlus inc.,Feb 2  2017 - Feb 6  ,72.36 - 141.00,1.21,1.3,2,1.57,1.36,1.5,2.42,1.81,../test/Nasdaq/PLUS/PLUS.csv,
THST,Truett-Hurst  Inc.,May 8  2017 - May 12  ,1.18 - 3.73,-0.02,-0.01,N/A,N/A,-0.01,-0.05,0.03,-0.02,../test/Nasdaq/THST/THST.csv,
CRAI,CRA International Inc.,Feb 16  2017 - Feb 20  ,18.44 - 40.00,0.27,0.35,0.33,0.3,0.3,0.4,0.39,0.24,../test/Nasdaq/CRAI/CRAI.csv,
SFLY,Shutterfly  Inc.,Apr 25  2017 - May 1  ,41.91 - 54.60,-1,-0.65,-0.92,2.84,-0.85,-0.48,-0.86,2.63,../test/Nasdaq/SFLY/SFLY.csv,
BLVDW,Boulevard Acquisition Corp. II,,,null,,
ACGL,Arch Capital Group Ltd.,Apr 25  2017 - May 1  ,67.50 - 95.97,1.1,0.96,1.03,0.97,1.17,1.13,1.14,1.13,../test/Nasdaq/ACGL/ACGL.csv,
CSF,VictoryShares US Discovery Enha,,,null,,
SNLN,Highland/iBoxx Senior Loan ETF,,,null,,
GOVNI,Government Properties Income Tr,,,null,,
CECE,CECO Environmental Corp.,Mar 8  2017 - Mar 13  ,5.60 - 14.88,0.21,0.14,0.18,0.21,0.18,0.18,0.21,0.24,../test/Nasdaq/CECE/CECE.csv,
HLIT,Harmonic Inc.,Feb 14  2017 - Feb 20  ,2.51 - 6.18,-0.03,-0.04,0.03,0.06,-0.11,N/A,-0.01,0.08,../test/Nasdaq/HLIT/HLIT.csv,
FORTY,Formula Systems (1985) Ltd.,,,null,,
NDSN,Nordson Corporation,Feb 20  2017 - Feb 24  ,72.71 - 125.13,0.92,1.33,1.24,0.82,1.19,1.47,1.39,0.86,../test/Nasdaq/NDSN/NDSN.csv,
MERC,Mercer International Inc.,Apr 27  2017 ,7.03 - 12.98,0.26,0.03,0.23,0.23,0.14,-0.07,0.18,0.28,../test/Nasdaq/MERC/MERC.csv,
CRDS,Crossroads Systems  Inc.,Mar 8  2017 - Mar 13  ,3.00 - 11.80,-3.3,-2.6,-2.4,-2.4,-3.4,N/A,-2,-0.6,../test/Nasdaq/CRDS/CRDS.csv,
GENE,Genetic Technologies Ltd,,,null,,
ACNB,ACNB Corporation,Mar 1  2017 - Mar 6  ,21.36 - 32.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ACNB/ACNB.csv,
RPD,Rapid7  Inc.,May 9  2017 - May 15  ,10.63 - 19.29,-0.24,-0.24,-0.2,-0.27,-0.23,-0.22,-0.13,-0.13,../test/Nasdaq/RPD/RPD.csv,
COUP,Coupa Software Incorporated,Mar 13  2017 ,23.52 - 41.61,N/A,N/A,N/A,-0.49,N/A,N/A,N/A,-0.22,../test/Nasdaq/COUP/COUP.csv,
HALL,Hallmark Financial Services  In,Mar 8  2017 - Mar 13  ,9.50 - 12.09,0.24,0.28,0.2,0.32,0.18,0.22,0.13,0.23,../test/Nasdaq/HALL/HALL.csv,
AMCX,AMC Networks Inc.,Feb 23  2017 - Feb 27  ,46.17 - 70.28,1.79,1.28,0.98,1.26,1.99,1.28,1.11,1.3,../test/Nasdaq/AMCX/AMCX.csv,
PSCU,PowerShares S P SmallCap Utilit,,,null,,
KEYW,The KEYW Holding Corporation,Feb 22  2017 - Feb 27  ,6.06 - 13.57,-0.05,0.02,0.06,-0.01,0.05,-0.01,0.09,-0.08,../test/Nasdaq/KEYW/KEYW.csv,
LAYN,Layne Christensen Company,Apr 10  2017 - Apr 14  ,6.35 - 11.42,-0.35,-0.31,-0.2,-0.2,-0.7,-0.45,-0.26,-0.26,../test/Nasdaq/LAYN/LAYN.csv,
ALGN,Align Technology  Inc.,Apr 27  2017 ,66.79 - 105.92,0.4,0.48,0.52,0.66,0.5,0.62,0.63,0.67,../test/Nasdaq/ALGN/ALGN.csv,
ADXSW,Advaxis  Inc.,,,null,,
CHY,Calamos Convertible and High In,,,null,,
MNOV,MediciNova  Inc.,Apr 26  2017 - May 1  ,5.44 - 10.16,-0.08,-0.07,-0.07,-0.09,-0.09,-0.11,-0.1,-0.04,../test/Nasdaq/MNOV/MNOV.csv,
GLDI,Credit Suisse AG,,,null,,
GTLS,Chart Industries  Inc.,Feb 23  2017 - Feb 27  ,18.48 - 40.87,0.02,0.12,0.12,0.09,-0.08,0.72,0.53,N/A,../test/Nasdaq/GTLS/GTLS.csv,
RFDI,First Trust RiverFront Dynamic,,,null,,
FHB,First Hawaiian  Inc.,Apr 24  2017 - Apr 28  ,24.25 - 760.00,N/A,N/A,0.38,0.39,N/A,N/A,0.4,0.4,../test/Nasdaq/FHB/FHB.csv,
AXAS,Abraxas Petroleum Corporation,Mar 15  2017 ,0.89 - 2.99,-0.03,-0.02,N/A,-0.03,-0.02,-0.01,-0.05,-0.02,../test/Nasdaq/AXAS/AXAS.csv,
JCOM,j2 Global  Inc.,May 3  2017 - May 8  ,55.60 - 90.88,1.04,1.15,1.24,1.43,1.05,1.21,1.25,1.49,../test/Nasdaq/JCOM/JCOM.csv,
QVCA,Liberty Interactive Corporation,Feb 24  2017 - Feb 28  ,17.24 - 27.25,0.51,0.2,0.23,0.13,0.44,0.18,0.26,0.13,../test/Nasdaq/QVCA/QVCA.csv,
LENS,Presbia PLC,,,null,,
APLP,Archrock Partners  L.P.,Feb 23  2017 - Feb 27  ,7.31 - 18.55,0.16,0.13,0.14,0.14,0.18,0.21,0.15,0.16,../test/Nasdaq/APLP/APLP.csv,
OTIC,Otonomy  Inc.,May 8  2017 - May 12  ,10.50 - 19.38,-0.84,-0.9,-0.95,-0.93,-0.91,-0.98,-0.91,-0.87,../test/Nasdaq/OTIC/OTIC.csv,
IIIN,Insteel Industries  Inc.,Apr 19  2017 - Apr 24  ,22.50 - 42.81,0.35,0.52,0.61,0.36,0.38,0.71,0.6,0.23,../test/Nasdaq/IIIN/IIIN.csv,
SYMX,Synthesis Energy Systems  Inc.,May 10  2017 - May 15  ,0.71 - 1.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SYMX/SYMX.csv,
MYSZ,My Size  Inc.,,,null,,
GNMA,iShares GNMA Bond ETF,,,null,,
EMITF,Elbit Imaging Ltd.,,,null,,
NXTDW,NXT-ID Inc.,,,null,,
QRVO,Qorvo  Inc.,,,null,,
CRESY,Cresud S.A.C.I.F. y A.,,,null,,
PSET,Principal Price Setters Index E,,,null,,
ADUS,Addus HomeCare Corporation,Mar 6  2017 - Mar 10  ,15.33 - 37.35,0.27,0.31,0.31,0.36,0.28,0.31,0.39,0.43,../test/Nasdaq/ADUS/ADUS.csv,
CRZO,Carrizo Oil Gas  Inc.,Feb 20  2017 - Feb 24  ,26.32 - 43.96,0.13,0.13,0.17,0.31,0.16,0.29,0.23,0.44,../test/Nasdaq/CRZO/CRZO.csv,
CERCW,Cerecor Inc.,,,null,,
SVBI,Severn Bancorp Inc,Apr 25  2017 - May 1  ,5.05 - 8.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SVBI/SVBI.csv,
PICO,PICO Holdings Inc.,Mar 13  2017 - Mar 17  ,8.47 - 16.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PICO/PICO.csv,
TWNKW,Hostess Brands  Inc.,,,null,,
RYAAY,Ryanair Holdings plc,,,null,,
SGMA,SigmaTron International  Inc.,Mar 13  2017 - Mar 17  ,4.01 - 7.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SGMA/SGMA.csv,
OPHT,Ophthotech Corporation,Feb 22  2017 - Feb 27  ,3.54 - 59.99,-1.33,-1.05,-1.64,-1.69,-1.03,-0.85,-1.71,-1.86,../test/Nasdaq/OPHT/OPHT.csv,
SRTSW,Sensus Healthcare  Inc.,,,null,,
DWAQ,PowerShares DWA NASDAQ Momentum,,,null,,
